soru,kategori,cevap,anahtar_kelimeler
"Yıllık izin hakkım nasıl hesaplanır?","İzin Yönetimi","SAMETEI'de yıllık izin hakları kıdem yılına göre belirlenir: 0-1 yıl arası 14 gün, 1-5 yıl arası 20 gün, 5-10 yıl arası 26 gün, 10 yıl üzeri 30 gün izin hakkı vardır. Eksik çalışılan yıllar için orantılı hesaplama yapılır. İzin hakları bir sonraki yıla devredilebilir ancak maksimum 40 gün birikebilir.","yıllık izin,izin hesaplama,kıdem,izin devri,birikmiş izin"
"Hastalık izni prosedürü nedir?","İzin Yönetimi","Hastalık durumunda ilk 3 gün için hekim raporu gerekmez, ancak İK'ya bildirim zorunludur. 3 günden fazla hastalıklar için SGK onaylı hekim raporu gereklidir. Rapor, hastalık bitiminden itibaren 3 iş günü içinde İK'ya teslim edilmelidir. Yılda 10 güne kadar kısa süreli rahatsızlık izni kullanılabilir.","hastalık izni,hekim raporu,SGK raporu,kısa süreli rahatsızlık,bildirim süresi"
"Evlilik izni kaç gün ve nasıl alınır?","İzin Yönetimi","Evlilik izni 7 takvim günüdür. İzin başvurusu evlilik tarihinden en az 30 gün önce yapılmalıdır. Evlilik cüzdanı fotokopisi izin dönüşünde İK'ya ibraz edilmelidir. İzin, evlilik tarihinden 6 ay içinde kullanılmalıdır. Eşin evlenmesi durumunda da 2 gün izin hakkı vardır.","evlilik izni,7 gün,başvuru süresi,evlilik cüzdanı,ibraz belgesi"
"Ölüm izni prosedürü nedir?","İzin Yönetimi","Birinci derece yakın (anne, baba, eş, çocuk) vefatında 5 gün, ikinci derece yakın (kardeş, büyükanne/baba) vefatında 3 gün, diğer akrabalar için 1 gün izin verilir. İzin dönüşünde vefat belgesi ibraz edilmelidir. Cenaze töreni farklı şehirde ise 2 gün ek yol izni verilebilir.","ölüm izni,vefat izni,cenaze izni,derece yakınlık,vefat belgesi"
"Doğum öncesi ve sonrası izin hakları nelerdir?","İzin Yönetimi","Kadın çalışanlar doğumdan önce 8, sonra 8 hafta olmak üzere toplam 16 hafta doğum izni kullanır. Çoğul gebelikte bu süre 18 haftaya çıkar. İsteğe bağlı ücretsiz izin 6 aya kadar alınabilir. Süt izni günde 1.5 saat olup, 1 yaşına kadar kullanılır. Erkek çalışanlar 10 gün babalık izni alabilir.","doğum izni,analık izni,babalık izni,süt izni,ücretsiz izin"
"Mazeret izni nasıl kullanılır?","İzin Yönetimi","Yılda toplam 5 gün mazeret izni hakkınız vardır. Günlük veya saatlik kullanılabilir. En az 1 gün önceden İK'ya bildirim yapılmalıdır. Acil durumlarda sonradan bildirim kabul edilir. Mazeret izni ücretten kesinti yapılmaz. Kullanılmayan mazeret izinleri yıl sonunda yanar.","mazeret izni,5 gün,önceden bildirim,acil durum,ücretli izin"
"Maaş ödemesi hangi tarihte yapılır?","Bordro ve Ödemeler","Maaşlar her ayın son iş günü saat 17:00'ye kadar hesaplara yatırılır. Resmi tatile denk gelirse bir önceki iş günü ödeme yapılır. Bordro, maaş yatırıldıktan sonraki iş günü e-bordro sisteminden görüntülenebilir. SMS ve e-posta ile bilgilendirme yapılır.","maaş ödemesi,bordro,ödeme günü,e-bordro,bilgilendirme"
"Avans talebi nasıl yapılır?","Bordro ve Ödemeler","Aylık brüt maaşınızın %50'sine kadar avans talep edebilirsiniz. Avans talebi İK portalından yapılır. Yönetici onayı gereklidir. Onaylanan avans 2 iş günü içinde hesaba yatar. Avans, takip eden ay maaşından kesilir. Yılda maksimum 3 kez avans alınabilir.","avans talebi,maaş avansı,yönetici onayı,kesinti,avans limiti"
"Prim ödemeleri nasıl hesaplanır?","Bordro ve Ödemeler","Performans primi 3 ayda bir değerlendirme sonucuna göre ödenir. Satış primi aylık hedef gerçekleştirme oranına göre hesaplanır. Proje tamamlama primi, proje bitiminde ödenir. Yıl sonu primi şirket karlılığına bağlı olarak 0.5-2 maaş arasında değişir. Tüm primler brüt ödenir.","prim hesaplama,performans primi,satış primi,proje primi,yıl sonu primi"
"Kıdem tazminatı nasıl hesaplanır?","Bordro ve Ödemeler","Kıdem tazminatı her tam yıl için 30 günlük brüt ücret üzerinden hesaplanır. Son brüt maaş baz alınır. Kıdem tazminatı tavanı devlet tarafından belirlenen tutarı geçemez. İstifa durumunda kıdem tazminatı ödenmez. Emeklilik, askerlik veya işveren tarafından fesih durumunda ödenir.","kıdem tazminatı,hesaplama,brüt ücret,tavan tutar,ödeme koşulları"
